# Mastronarde AtticGreek Principal Parts 1-3 (GrEn) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP GrEn
#deck column:5
#html:false
ἄξω,ἄξω,Future of ἄγω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἤγαγον,ἤγαγον,Aorist of ἄγω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἀποθανέομαι,ἀποθανέομαι,Future of ἀποθνῄσκω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἀπέθανον,ἀπέθανον,Aorist of ἀποθνῄσκω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἄρξω,ἄρξω,Future of ἄρχω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἦρξα,ἦρξα,Aorist of ἄρχω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
γράψω,γράψω,Future of γράφω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἤγραψα,ἤγραψα,Aorist of γράφω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἐθελήσω,ἐθελήσω,Future of ἐθέλω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἠθέλησα,ἠθέλησα,Aorist of ἐθέλω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἐλάω,ἐλάω,Future of ἐλαύνω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἤλασα,ἤλασα,Aorist of ἐλαύνω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἐπιτρεψω,ἐπιτρεψω,Future of ἐπιτρέπω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἐπέτρεψα,ἐπέτρεψα,Aorist of ἐπιτρέπω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἕξω,ἕξω,Future #1 of ἔχω (same meaning),pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
σχήσω,σχήσω,Future #2 of ἔχω (same meaning),pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔσχον,ἔσχον,Aorist of ἔχω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
λήψομαι,λήψομαι,Future of λαμβάνω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔλαβον,ἔλαβον,Aorist of λαμβάνω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
λέξω,λέξω,Future of λέγω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔλεξα,ἔλεξα,Aorist of λέγω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
λείψω,λείψω,Future of λείπω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔλιπον,ἔλιπον,Aorist of λείπω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
λύσω,λύσω,Future of λύω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔλυσα,ἔλυσα,Aorist of λύω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
μενέω,μενέω,Future of μένω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔμεινα,ἔμεινα,Aorist of μένω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
πείσω,πείσω,Future of πείθω,pp::future,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
ἔπεισα,ἔπεισα,Aorist of πείθω,pp::aorist,Mastronarde AtticGreek Principal Parts 1-3 (GrEn)::Unit 05
