# This is an export of the MAG principal parts dataset in Anki CSV format (English-to-Greek)
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP EnGr
#deck column:5
#html:false
ἄξω,Future of ἄγω,ἄξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤγαγον,Aorist of ἄγω,ἤγαγον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἀποθανέομαι,Future of ἀποθνῄσκω,ἀποθανέομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἀπέθανον,Aorist of ἀποθνῄσκω,ἀπέθανον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἄρξω,Future of ἄρχω,ἄρξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἦρξα,Aorist of ἄρχω,ἦρξα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
γράψω,Future of γράφω,γράψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤγραψα,Aorist of γράφω,ἤγραψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐθελήσω,Future of ἐθέλω,ἐθελήσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἠθέλησα,Aorist of ἐθέλω,ἠθέλησα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐλάω,Future of ἐλαύνω,ἐλάω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤλασα,Aorist of ἐλαύνω,ἤλασα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπιτρεψω,Future of ἐπιτρέπω,ἐπιτρεψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπέτρεψα,Aorist of ἐπιτρέπω,ἐπέτρεψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἕξω,Future #1 of ἔχω (same meaning),ἕξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
σχήσω,Future #2 of ἔχω (same meaning),σχήσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔσχον,Aorist of ἔχω,ἔσχον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λήψομαι,Future of λαμβάνω,λήψομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλαβον,Aorist of λαμβάνω,ἔλαβον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λέξω,Future of λέγω,λέξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλεξα,Aorist of λέγω,ἔλεξα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λείψω,Future of λείπω,λείψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλιπον,Aorist of λείπω,ἔλιπον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λύσω,Future of λύω,λύσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλυσα,Aorist of λύω,ἔλυσα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
μενέω,Future of μένω,μενέω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔμεινα,Aorist of μένω,ἔμεινα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
πείσω,Future of πείθω,πείσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔπεισα,Aorist of πείθω,ἔπεισα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
πέμψω,Future of πέμπω,πέμψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔπεμψα,Aorist of πέμπω,ἔπεμψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
οἴσω,Future of φέρω,οἴσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤνεγκον,Aorist #1 of φέρω (same meaning),ἤνεγκον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤνεγκα,Aorist #2 of φέρω (same meaning),ἤνεγκα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
φεύξομαι,Future #1 of φεύγω (same meaning),φεύξομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
φευξέομαι,Future #2 of φεύγω (same meaning),φευξέομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔφυγον,Aorist of φεύγω,ἔφυγον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἀκούσομαι,Future of ἀκούω,ἀκούσομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἤκουσα,Aorist of ἀκούω,ἤκουσα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
βλάψω,Future of βλάπτω,βλάψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἔβλαψα,Aorist of βλάπτω,ἔβλαψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
κελεύσω,Future of κελεύω,κελεύσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἐκέλευσα,Aorist of κελεύω,ἐκέλευσα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
τάξω,Future of τάττω,τάξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἔταξα,Aorist of τάττω,ἔταξα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
δεήσει,Future of δεῖ,δεήσει,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἐδέησε,Aorist of δεῖ,ἐδέησε,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
δόξει,Future of δοκεῖ,δόξει,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἔδοξε,Aorist of δοκεῖ,ἔδοξε,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
ἐξέσται,Future of ἔξεστι,ἐξέσται,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 09
