# Mastronarde AtticGreek Principal Parts (EnGr) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP EnGr
#deck column:5
#html:false
ἄξω,Future of ἄγω,ἄξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤγαγον,Aorist of ἄγω,ἤγαγον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἦχα,Perfect of ἄγω,ἦχα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἦγμαι,Perfect Middle of ἄγω,ἦγμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤχθην,Aorist Passive of ἄγω,ἤχθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἀποθανέομαι,Future of ἀποθνῄσκω,ἀποθανέομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἀπέθανον,Aorist of ἀποθνῄσκω,ἀπέθανον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
τέθνηκα,Perfect of ἀποθνῄσκω,τέθνηκα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἄρξω,Future of ἄρχω,ἄρξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἦρξα,Aorist of ἄρχω,ἦρξα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἧρχα,Perfect of ἄρχω,ἧρχα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἧργμαι,Perfect Middle of ἄρχω,ἧργμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἥρχθην,Aorist Passive of ἄρχω,ἥρχθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
γράψω,Future of γράφω,γράψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤγραψα,Aorist of γράφω,ἤγραψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
γέγραφα,Perfect of γράφω,γέγραφα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
γέγραμμαι,Perfect Middle of γράφω,γέγραμμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐγράφην,Aorist Passive of γράφω,ἐγράφην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐθελήσω,Future of ἐθέλω,ἐθελήσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἠθέλησα,Aorist of ἐθέλω,ἠθέλησα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἠθέληκα,Perfect of ἐθέλω,ἠθέληκα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐλάω,Future of ἐλαύνω,ἐλάω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἤλασα,Aorist of ἐλαύνω,ἤλασα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
-ελήλακα,Perfect of ἐλαύνω,-ελήλακα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐλήλαμαι,Perfect Middle of ἐλαύνω,ἐλήλαμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἠλάθην,Aorist Passive of ἐλαύνω,ἠλάθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπιτρεψω,Future of ἐπιτρέπω,ἐπιτρεψω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπέτρεψα,Aorist of ἐπιτρέπω,ἐπέτρεψα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
(ἐπιτέτροφα),Perfect #1 of ἐπιτρέπω (same meaning),(ἐπιτέτροφα),pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
(ἐπιτέτραφα),Perfect #2 of ἐπιτρέπω (same meaning),(ἐπιτέτραφα),pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπιτέτραμμαι,Perfect Middle of ἐπιτρέπω,ἐπιτέτραμμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐπετρεφθην,Aorist Passive of ἐπιτρέπω,ἐπετρεφθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἕξω,Future #1 of ἔχω (same meaning),ἕξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
σχήσω,Future #2 of ἔχω (same meaning),σχήσω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔσχον,Aorist of ἔχω,ἔσχον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔσχηκα,Perfect of ἔχω,ἔσχηκα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
-έσχημαι,Perfect Middle of ἔχω,-έσχημαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
(ἐσχέθην),Aorist Passive of ἔχω,(ἐσχέθην),pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λήψομαι,Future of λαμβάνω,λήψομαι,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλαβον,Aorist of λαμβάνω,ἔλαβον,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
εἴληφα,Perfect of λαμβάνω,εἴληφα,pp::perfect,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
εἴλημμαι,Perfect Middle of λαμβάνω,εἴλημμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἐλήφθην,Aorist Passive of λαμβάνω,ἐλήφθην,pp::aorist_passive,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λέξω,Future of λέγω,λέξω,pp::future,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
ἔλεξα,Aorist of λέγω,ἔλεξα,pp::aorist,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
λέλεγμαι,Perfect Middle of λέγω,λέλεγμαι,pp::perfect_middle,Mastronarde AtticGreek Principal Parts (EnGr)::Unit 05
