# Mastronarde AtticGreek Principal Parts (Incr,GrEn) Anki CSV export
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG PP GrEn
#deck column:5
#html:false
ἄξω,ἄξω,Future of ἄγω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἤγαγον,ἤγαγον,Aorist of ἄγω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἦχα,ἦχα,Perfect of ἄγω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἦγμαι,ἦγμαι,Perfect Middle of ἄγω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἤχθην,ἤχθην,Aorist Passive of ἄγω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
ἀποθανέομαι,ἀποθανέομαι,Future of ἀποθνῄσκω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἀπέθανον,ἀπέθανον,Aorist of ἀποθνῄσκω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
τέθνηκα,τέθνηκα,Perfect of ἀποθνῄσκω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἄρξω,ἄρξω,Future of ἄρχω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἦρξα,ἦρξα,Aorist of ἄρχω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἧρχα,ἧρχα,Perfect of ἄρχω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἧργμαι,ἧργμαι,Perfect Middle of ἄρχω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἥρχθην,ἥρχθην,Aorist Passive of ἄρχω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
γράψω,γράψω,Future of γράφω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἤγραψα,ἤγραψα,Aorist of γράφω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
γέγραφα,γέγραφα,Perfect of γράφω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
γέγραμμαι,γέγραμμαι,Perfect Middle of γράφω,pp::perfect_middle,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐγράφην,ἐγράφην,Aorist Passive of γράφω,pp::aorist_passive,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPB::Unit 05"
ἐθελήσω,ἐθελήσω,Future of ἐθέλω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἠθέλησα,ἠθέλησα,Aorist of ἐθέλω,pp::aorist,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
ἠθέληκα,ἠθέληκα,Perfect of ἐθέλω,pp::perfect,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPC::Unit 05"
ἐλάω,ἐλάω,Future of ἐλαύνω,pp::future,"Mastronarde AtticGreek Principal Parts (Incr,GrEn)::PPA::Unit 05"
