# This is an export of the MAG vocab dataset in Anki CSV format (Greek-to-English)
#separator:Comma
#columns:ID,Front,Back,Tags,DeckName
#notetype:MAG Vocab GrEn
#deck column:5
#html:true
ἄγγελος,"ἄγγελος, ἀγγέλου, ὁ","messenger, herald<br>[angel]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἀδελφός,"ἀδελφός, ἀδελφοῦ, ὁ",brother<br>[Philadelphia],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἄνεμος,"ἄνεμος, ἀνέμου, ὁ",wind<br>[anemometer],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἄνθρωπος,"ἄνθρωπος, ἀνθρώπου, ὁ","human being, man (occasionally fem., woman)<br>[anthropology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
βίος,"βίος, βίου, ὁ","life, manner of living, livelihood<br>[biology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
διδάσκαλος,"διδάσκαλος, διδασκάλου, ὁ","teacher<br>trainer of a chorus, producer of a play<br>[Didaskalia, didactic]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἥλιος,"ἥλιος, ἡλίου, ὁ",sun<br>[helium],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
θάνατος,"θάνατος, θανάτου, ὁ",death<br>[euthansia],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
θεός,"θεός, θεοῦ, ὁ","god, divinity (occasionally fem., goddess)<br>[theology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἵππος,"ἵππος, ἵππου, ὁ","horse (also fem., mare)<br>[hippopotamus]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
λόγος,"λόγος, λόγου, ὁ","word, speech, tale, story<br>reckoning, account, proportion<br>reason, rationality<br>[philology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
νόμος,"νόμος, νόμου, ὁ",custom<br>law<br>[economic],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
οἶκος,"οἶκος, οἴκου, ὁ","house, dwelling place<br>household<br>[ecology, economy, ecosystem]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
πόλεμος,"πόλεμος, πολέμου, ὁ",war<br>[polemic],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
στρατηγός,"στρατηγός, στρατηγοῦ, ὁ",general<br>[strategic],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
στρατός,"στρατός, στρατοῦ, ὁ","army, host<br>[strategic]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
φόβος,"φόβος, φόβου, ὁ","fear<br>[phobia, Phobos]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
νόσος,"νόσος, νόσου, ἡ","sickness, disease<br>[nosology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ὁδός,"ὁδός, ὁδοῦ, ἡ","road, path, way<br>journey<br>[odometer, method]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ψῆφος,"ψῆφος, ψήφου, ἡ","small stone, pebble (used in reckoning, in games, in voting)<br>vote<br>[psephologist]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
βιβλίον,"βιβλίον, βιβλίου, το",book<br>[bibliophile],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
δῶρον,"δῶρον, δῶρου, το",gift<br>(in political or judicial contexts) bribe<br>[Eudora],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἔργον,"ἔργον, ἔργου, το","work, action, deed<br>[erg, energy]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
μέτρον,"μέτρον, μέτρου, το","measure, size, distance<br>moderate amount, proportion<br>[meter]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
παιδίον,"παιδίον, παιδίου, το",child<br>[pediatrics],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἀπό,ἀπό (ἀπ᾽ or ἀφ᾽ before vowels),"(+ gen.) away from, from<br>[aphelion, apogee, apocalypse]",pos::preposition,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἐκ,ἐκ (ἐξ before vowels),"(+ gen.) out of, forth from<br>as a result of<br>[eclectic, ecdysiast]",pos::preposition,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἐν,ἐν,"(+ dat.) in, within, on, at, among<br>[encaustic, empathy, ellipsis]",pos::preposition,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
εἰς,εἰς or ἐς,"(+ acc.) into, to, toward<br>with respect to<br>[isagogic]",pos::preposition,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
σύν,σύν,"(+ dat.) together with, with<br>[synonym, sympathy]",pos::preposition,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἀλλά,ἀλλά,"but, but rather",pos::conjunction,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
καί,καί,"and<br>(adverbial) even, also, too",pos::conjunction,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
οὐ,οὐ (οὐκ or οὐχ before vowels),"not<br><i>(negating statements, words, or phrases)</i><br>[Utopia]",pos::adverb,Mastronarde AtticGreek Vocab (GrEn)::Unit 03
ἁγορά,"ἁγορά, ἁγορᾶς, ἠ","assembly, place of assembly<br>marketplace<br>[agoraphobia]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
Ἀσπασία,"Ἀσπασία, Ἀσπασίας, ἡ",Aspasia (female proper name),pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
δημοκρατία,"δημοκρατία, δημοκρατίας, ἠ",democracy,pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἡμέρα,"ἡμέρα, ἡμέρας, ἡ",day<br>[ephemeral],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
θεά,"θεά, θεᾶς, ἡ",goddess,pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
θύρα,"θύρα, θύρας, ἡ","door<br>(freq. pl.) double doors, folding doors",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
παιδεία,"παιδεία, παιδείας, ἡ","education, training, culture<br>[propaedeutic]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
στρατιά,"στρατιά, στρατιᾶς, ἡ",army<br>[strategy],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
συμφορά,"συμφορά, συμφορᾶς, ἡ","event, happening, circumstance<br>unlucky event, misfortune",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
φιλία,"φιλία, φιλίας, ἡ",friendship<br>[bibliophily],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
χώρα,"χώρα, χώρας, ἡ","land, country<br>space, room, place<br>[chorology]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἁδελφή,"ἁδελφή, ἁδελφῆς, ἡ",sister,pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἁρετή,"ἁρετή, ἁρετῆς, ἡ","excellence<br>valor, virtue<br>[aretalogy]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἁρχή,"ἁρχή, ἁρχῆς, ἡ","beginning<br>rule, office<br>realm, province<br>[monarchy]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
γνώμη,"γνώμη, γνώμης, ἡ","faculty of judgment<br>opinion, decision, verdict<br>[gnomic]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
δίκη,"δίκη, δίκης, ἡ","justice, right<br>lawsuit<br>punishment (levied in a suit)<br>[syndic]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἡδονή,"ἡδονή, ἡδονῆς, ἡ",pleasure<br>[hedonist],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
νίκη,"νίκη, νίκης, ἡ",victory<br>[epinician],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
Ξανθίππη,"Ξανθίππη, Ξανθίππης, ἡ",Xanthippe (female proper name),pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
σκηνή,"σκηνή, σκηνῆς, ἡ","tent, booth<br>stage building<br>stage<br>[scene]",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
τιμή,"τιμή, τιμῆς, ἡ",honor<br>esteem<br>price<br>[timocratic],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
φυγή,"φυγή, φυγῆς, ἡ","running away, flight<br>exile",pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
φωνή,"φωνή, φωνῆς, ἡ",sound<br>voice<br>[phonetic],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ψυχή,"ψυχή, ψυχῆς, ἡ",breath of life<br>life<br>soul<br>[psyche],pos::noun,Mastronarde AtticGreek Vocab (GrEn)::Unit 04
ἄγω,ἄγω,lead<br>carry<br>[pedagogy],pos::verb,Mastronarde AtticGreek Vocab (GrEn)::Unit 05
ἀποθνῄσκω,ἀποθνῄσκω,die,pos::verb,Mastronarde AtticGreek Vocab (GrEn)::Unit 05
